Site,Occ,catchment,conductivity,dams,dom.substrate,prop.org.subst,prop.large.subst,prop.sm.subst,TDS,WBType,subm,emerg,float,open,subm.complex,subm.simple,subm.grasslike,emerg.persist,emerg.cattail,emerg.broad,canopy,elevation,ALNINC,BIDBEC,BRASCH,CALLSP,CARESP,CEPOCC,CERASP,DULARU,ELATRI,ELEACI,ELEROB,ELODSP,ERIOSP,EQUISP,GRAAUR,GRASS,ISOESP,JUNCSP,JUNMIL,ILEVER,LEMNSP,LUDPAL,LYSTER,MOSS1,MOSS2,MYRTEN,MYRISP,NAJASP,NASOFF,NUPVAR,NYMCOR,NYMODO,PERSSP,PONCOR,POTAMP,POTEPI,POTGEM,POTILL,POTNAT,POTOAK,POTPER,POTROB,SAGFIL,SAGLAT,SCHSUB,SCICYP,SPARSP,TYPHSP,UTRINT,UTRISP,VACCSP,VALAME,ZANPAL
BURNPD-01,0,1b,52.6,1,Detritus,0.7,0,0.3,37.1,LakePond,0.4,0.4,0.1,0.1,0.01,0.49,0.5,0.7,0,0.3,53.66666667,114.109993,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
BURNPD-02,0,1b,53.2,1,Mud,0.6,0.15,0.25,37.8,LakePond,0.3,0.4,0.15,0.15,0.3,0.3,0.4,0.7,0,0.3,19.5,113.7960669,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
CARBRK,0,1b,98.3,0,Sand,0.01,0.39,0.6,69.8,StreamRiver,0.2,0,0,0.8,0.95,0.05,0,0,0,0,59.66666667,108.2353312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANBR,0,1b,117.7,0,Silt,0.05,0,0.95,83.9,StreamRiver,0.3,0.1,0.05,0.55,0,0,1,0,0,1,79,30.32364782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
COLCPD-01,1,1b,29.4,2,Mud,0.5,0.05,0.45,20.8,LakePond,0.6,0.15,0.15,0.1,0.15,0.05,0.8,0,0.1,0.9,24.66666667,161.8043925,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
COLCPD-02,0,1b,28.3,0,Mud,1,0,0,20.2,StreamRiver,0.85,0.1,0.05,0,0.5,0,0.5,0.8,0,0.2,50,162.0749003,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
CRESLK-01,1,1b,93.4,0,Mud,0.7,0.1,0.2,66.3,StreamRiver,0.4,0.1,0.05,0.45,0.1,0.7,0.2,0,0,1,36.33333333,85.12988027,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
CRESLK-02,1,1b,93,0,Mud,1,0,0,66,LakePond,0.85,0.05,0.05,0.05,0.1,0,0.9,0,0,1,0,83.5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
CRESLK-03,0,1a,96.2,1,Sand,0.4,0,0.6,68.3,LakePond,0.3,0.01,0,0.69,0.1,0,0.9,0,0,1,0,83.70852915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
CROOKN,0,1b,64.5,2,Sand,0.2,0.3,0.5,45.7,StreamRiver,0.4,0.1,0.1,0.4,0.1,0.1,0.8,0,0,1,68.33333333,165.3656057,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
CROOKR,0,2,61.2,1,Silt,0.3,0.1,0.6,43.4,StreamRiver,0.2,0.05,0.05,0.7,0.05,0,0.95,0,0,1,54.875,89.38139582,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
CROOKS,0,2,68.3,0,Sand,0.3,0,0.7,48.4,StreamRiver,0.75,0.1,0.05,0.1,0.9,0,0.1,0.1,0,0.9,79.66666667,83.2611084,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
DINGLY,0,1b,100.1,1,Sand,0.1,0.7,0.2,71.2,StreamRiver,0.7,0.1,0.2,0,0.1,0,0.9,0,0.05,0.95,0,84.41000366,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
DUCKIN,0,1b,46.9,1,Mud,0.7,0.3,0,33.3,StreamRiver,0.7,0.25,0.05,0,0.4,0.1,0.5,0.1,0.05,0.85,78,129.9841207,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0
DUCKNO,0,1a,47.4,1,Cobble rocks,0.1,0.6,0.3,33.3,StreamRiver,0.1,0,0,0.9,0.95,0,0.05,0,0,0,81.66666667,162.0413717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDDYBR,0,1a,203,1,Mud,0.95,0.02,0.03,145,StreamRiver,0.01,0.05,0,0.94,0,0,1,0,0,1,48.33333333,88.57454936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GRTBRK,0,1a,96.7,0,Mud,1,0,0,69.2,StreamRiver,0.1,0.3,0.1,0.5,0,1,0,0.8,0.1,0.1,21.66666667,123.0139898,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWORKB,0,1b,184.1,2,Detritus,0.9,0.1,0,131,StreamRiver,0.05,0.1,0.05,0.8,1,0,0,0,0,1,35.6875,63.4114275,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWORKN,0,1b,289,0,Detritus,0.5,0.5,0,206,StreamRiver,0.19,0,0.01,0.8,0.2,0,0.8,0,0,0,72.5625,65.72051573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
GWORKS,1,1b,164.7,3,Cobble rocks,0.6,0.4,0,117,StreamRiver,0.1,0,0,0.9,0.79,0.01,0.2,0,0,0,70.625,38.29590845,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HEATH-01,0,1b,61,0,Detritus,0,0.4,0.6,43.4,LakePond,0.8,0.05,0.1,0.05,0.1,0,0.9,0,0,1,8.666666667,98.62426249,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
HEATH-02,0,1b,53.3,0,Mud,1,0,0,37.8,LakePond,0.7,0.05,0.2,0.05,0.05,0.05,0.9,0,0,1,0,98.16999817,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
HIGHLK-02,0,1b,48.4,1,Detritus,0.9,0.1,0,34.2,LakePond,0.6,0.2,0.2,0,0.05,0.05,0.9,0,0,1,63.09090909,129.3201127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
HIGHLK-03,0,1b,47.8,2,Mud,0.8,0,0.2,33.5,LakePond,0.2,0.2,0.05,0.55,0.5,0,0.5,0,0.7,0.3,53,127.8410378,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HIGHLK-04,1,1b,49.4,0,Mud,0.9,0.1,0,35,LakePond,0.7,0.1,0.1,0.1,0.15,0.05,0.8,0,0.8,0.2,0,128.5737943,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
INGALS-01,0,1a,47.9,1,Detritus,1,0,0,33.9,LakePond,0.9,0,0.1,0,0.8,0.01,0.19,0,0,0,0,106.4199982,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
INGALS-02,0,1a,46.1,1,Mud,1,0,0,32.6,LakePond,0.8,0.1,0.1,0,0.8,0.01,0.19,1,0,0,0,106.4199982,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
JORDAN,0,1b,142,1,Mud,0.6,0.2,0.2,100.9,StreamRiver,0.85,0.1,0.05,0,0.45,0.05,0.5,0.5,0,0.5,0,80.42722559,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
JOSIES,0,1b,77.5,0,Mud,1,0,0,53.8,StreamRiver,0.8,0.1,0.05,0.05,0.5,0,0.5,0.3,0,0.7,27.625,65.42272377,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
KIMBAL,1,1b,33.3,0,Detritus,0.9,0.05,0.05,23.5,StreamRiver,0.7,0.2,0.05,0.05,0.05,0.05,0.9,0.2,0,0.8,NA,115.9627909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
LITTLR,0,2,78.7,0,Sand,0.1,0.7,0.2,58.3,StreamRiver,0.1,0.01,0.01,0.88,0.3,0.1,0.6,0,0,1,80.25,75.85698032,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
MARBRK,0,1b,56,0,Mud,0.7,0.3,0,39.9,StreamRiver,0.6,0.2,0,0.2,0,0.7,0.3,0.05,0.95,0,69.25,0.427227527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
MARRPD-01,0,1a,79.2,0,Mud,1,0,0,56.4,LakePond,0.6,0.2,0.2,0,0,0.01,0.99,0,0.1,0.9,0,164.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARRPD-02,0,1a,79,0,Mud,1,0,0,55.9,LakePond,0.05,0.45,0,0.5,0,0.1,0.9,0,0.5,0.5,0,164.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
MEADBR,0,1a,129.9,0,Sand,1,0,0,92.4,StreamRiver,0.4,0.05,0.05,0.5,0.95,0,0.05,0.05,0,0.95,58,44.60176849,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
MERRIL,0,1a,660,1,Silt,0.45,0.05,0.5,469,StreamRiver,0.2,0.05,0,0.75,0,0.1,0.9,0.1,0.05,0.85,58.66666667,8.857493401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
MOSQPD,0,1a,17,0,Mud,0.3,0.1,0.6,12,LakePond,0.8,0.1,0.1,0,0.9,0.09,0.01,0,0,1,52,290.2863261,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
MUDNO,1,1b,42.5,1,Mud,1,0,0,30,LakePond,0.3,0.3,0.3,0.1,0.1,0.1,0.8,0.1,0,0.9,51.66666667,152.6849925,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0
MUDSO,0,1a,88.6,3,Mud,0.9,0.1,0,62.3,LakePond,0.3,0.3,0.3,0.1,0.15,0.05,0.8,0.9,0,0.1,56.33333333,150.6200511,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0
OCSACO,0,2,49.4,0,Mud,1,0,0,34,StreamRiver,0.4,0.35,0.25,0,0.45,0.1,0.45,0,0,1,0,112.9315581,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
OSSIPE,1,3a,70,1,Mud,0.9,0.08,0.02,49.7,StreamRiver,0.19,0.2,0.01,0.6,0,0,1,0,0,1,73.4625,87.33088341,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
OSSIPM,1,3a,63.8,0,Mud,0.5,0,0.5,45.3,StreamRiver,0.7,0.2,0.1,0,0.05,0.95,0,0.2,0,0.8,26.90909091,113.0100021,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
OSSIPR,0,3a,67.9,1,Sand,0.2,0.6,0.2,48.4,StreamRiver,0.09,0.01,0,0.9,0.01,0.49,0.5,0,0,1,26,87.34013367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
OTTER-01,0,1a,65.2,0,Detritus,0.1,0.6,0.3,46.1,LakePond,0.01,0.01,0.01,0.97,0.99,0,0.01,0,0,1,38.66666667,74.11000061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
OTTER-02,0,1a,115.3,0,Mud,0.8,0.05,0.15,81.7,LakePond,0.1,0,0.05,0.85,0.5,0,0.5,0,0,0,49.33333333,78.6138738,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
PANTHR-01,1,1b,94.7,0,Mud,0.9,0.05,0.05,67.4,StreamRiver,0.7,0.1,0,0.2,0,0.1,0.9,0,0.5,0.5,52.66666667,83.59260559,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
PANTHR-02,0,1b,89.9,1,Mud,0.6,0.1,0.3,63.7,LakePond,0.5,0.05,0.45,0,0.9,0.05,0.05,0,0,1,45,83.81527456,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
PANTHR-03,0,1b,98.4,0,Mud,0.9,0.1,0,69.9,LakePond,0.4,0.1,0.4,0.1,0.5,0.05,0.45,0.1,0.1,0.8,0,84.04203796,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PISCAT,0,1b,339,0,Sand,0.1,0.1,0.8,241,StreamRiver,0.05,0,0,0.95,0.6,0,0.4,0,0,0,72.42857143,21.23248468,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PISCDN,0,1b,405,0,Silt,1,0,0,288,StreamRiver,0.09,0.01,0.05,0.85,0.01,0.01,0.98,1,0,0,31.33333333,17.78183238,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PISCUP,0,1b,290,1,Silt,0.05,0.05,0.9,205,StreamRiver,0.2,0.1,0,0.7,0,0.05,0.95,0,0.4,0.6,36.66666667,27.68651994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
PRESBG,0,3a,61.7,1,Sand,0.1,0,0.9,43.8,StreamRiver,0.6,0,0.2,0.2,0.01,0.89,0.1,0,0,0,0,40.90999985,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PRESUM-01,1,3a,67.7,1,Mud,0.5,0.05,0.45,48.1,StreamRiver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.661971831,41.16060961,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
PRESUM-02,1,3a,64.9,1,Mud,1,0,0,47.2,StreamRiver,0.8,0.1,0.1,0,0.7,0,0.3,0,0.3,0.7,47.33333333,40.94748624,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
PROCPD-01,0,1b,42.1,2,Detritus,1,0,0,30.3,LakePond,0.75,0.1,0.1,0.05,0.4,0,0.6,0,0,1,13.81818182,175.9100037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
PROCPD-02,0,1b,48.8,2,Sand,0.3,0,0.7,34.5,LakePond,0.45,0.3,0.15,0.1,0.2,0,0.8,0,0,1,0,176.0807096,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
RACHEL,0,1a,284,0,Mud,1,0,0,198,StreamRiver,0.1,0.1,0,0.8,0,0,1,0,0.5,0.5,66,4.551345825,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
RANGE-01,0,1a,95.8,1,Mud,0.9,0,0.1,68.2,LakePond,0.6,0.1,0.05,0.25,0.2,0.01,0.79,0.7,0,0.3,0,94.00643667,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
